Table: Folders
Stress Level,Name,Machines CPU,Page Faults /sec,Connected Machines,Disconnected Machines,Machines,Processes,Sessions,User Sessions,Folder Path,Description,Low Stressed Machines,Mid Stressed Machines,High Stressed Machines,Critical Stressed Machines,Low Stressed Sessions,Mid Stressed Sessions,High Stressed Sessions,Critical Stressed Sessions,Low Stressed Processes,Mid Stressed Processes,High Stressed Processes,Critical Stressed Processes,Min Sessions Per Machine,Max Sessions Per Machine,Avg. Sessions Per Machine,Avg. Logon Duration,Avg. App Load Time,Average GPU Usage,Average GPU Frame Buffer Usage,Machines with GPU,Managed Machine Count,Average Machine Memory Utilization,Machine Disk Transfers / sec,Machine Disk IO Avg. Latency,Machine Net Total,Sessions Avg. Protocol Latency,Sessions Avg. Protocol Bandwidth,Hosts CPU,Hosts Memory,Critical Stressed Agentless Managed VMs,High Stressed Agentless Managed VMs,Mid Stressed Agentless Managed VMs,Low Stressed Agentless Managed VMs,Hosts,Agentless Managed VM Count,Low Stressed Hosts,Mid Stressed Hosts,High Stressed Hosts,Critical Stressed Hosts,Information Source,HA Status,HA Admission Control,HA Host Monitoring,HA VM Monitoring,DRS Status,DRS Automation level,VM Count,Running VM Count,Host Average Disk IOPS,Read / Write Average Disk Latency,Host NIC average usage,Host NIC dropped packets,Datastore Count,Total Datastores capacity,Datastores Free Space,Datastores Read IOPS,Datastores Write IOPS,Datastores Read Latency,Datastores Write Latency,Datastores Read Rate,Datastores Write Rate,VM Host CPU Usage,VM CPU Ready,VM Physical Memory Used,VM Active Memory,VM Virtual Disk Read IOPS,VM Virtual Disk Write IOPS,VM Virtual Disk Reads KBps,VM Virtual Disk Writes KBps,VM Virtual Disk Read Latency,VM Virtual Disk Write Latency,Cluster IP Address,Cluster Version,vSAN Free Capacity,vSAN Disk Configuration,Compression,Capacity Deduplication,vSAN Health,vSAN Congestions,vSAN Inbound Packet Loss Rate,vSAN Outbound Packet Loss Rate,vSAN Cache Hit Rate,vSAN Min Read Cache Hit Rate,vSAN Write Buffer Min Free Percentage,XD Site Name,XD Delivery Group Availability,XD Maintenance Mode,XD Delivery Group Enabled,XD Machines,XD Agentless Machines,XD User Sessions,XD Average Logon Duration,XD Failed Machines,XD % Available Machines,XD User Connection Failures Per Hour,XD Desktop Kind,XD Delivery Type,XD Apps Published,XD Available Machines,XD Total Desktops,XD % Available Desktops,XD Disconnected Sessions,XD Machines In Use,XD Never Registered Machines,XD Preparing Machines,XD Unregistered Machines,XD Is Remote PC,XD Session Support,XD App Instances Running,XD Desktop Instances Running,XD Apps in Use,XD in Use / Published Apps Ratio,HZ Pool Enabled,HZ Pool Type,HZ Machines Source,HZ User Assignment,HZ Access Group,HZ Provisioning Enabled,HZ Power Policy,HZ Automatic Logoff Policy,HZ Automatic Logoff Timeout,HZ Default Display Protocol,HZ Max Number Of Monitors,HZ vRam Size,HZ Image Quality,HZ Last Provisioning Error,HZ Instant Clone Pending Image State,HZ Instant Clone Current Image State,HZ Operating System,HZ Supported Domains,HZ Associated vCenter URL,HZ Last Modified,HZ Pending Image Parent VM Path,HZ Pending Image Snapshot Path,HZ Machines,HZ User Sessions,HZ Available Machines,HZ % Available Machines,HZ Desktop Pool Availability,HZ Disconnected Sessions,HZ Pod,HZ Primary Connection Server,XD Delivery Groups,XD % Healthy Brokers,XD % Available Delivery Groups,HZ Site,HZ Available Desktop Pools,HZ % Available Desktop Pools,HZ Desktop Pools,HZ Connection Servers,HZ Healthy Connection Servers,HZ % Healthy Connection Servers,HZ Connection Server Max Connection,HZ Total Composer Machine Connections,HZ Machines In Use,HZ Problematic Machines,AWS Region,AWS Running EC2 Instances,AWS Stopped EC2 Instances,AWS Instances with Failed Status Checks,AWS Avg. CPU Utilization,AWS Disk Read Operations,AWS Disk Write Operations,AWS Network In,AWS Network Out,AWS Alarms in OK Status,AWS Alarms in Insufficient Data Status,AWS Alarms in Alarm Status,AWS EC2 Instance Hourly Cost,AWS Attached Storage Hourly Cost,AWS Detached Storage Hourly Cost,AWS Attached Snapshot Hourly Cost,AWS Detached Snapshots Hourly Cost,AWS Attached Elastic IP Hourly Cost,AWS Detached Elastic IP Hourly Cost,AWS Total Hourly Cost,AWS Monthly Run Rate,AWS RI Upfront Hourly Cost,AWS Unutilized RI Hourly Cost,AWS Number of Unutilized RIs,AWS Days to Next RI Expiration Date,AWS Next RI Expiration Date,NetScaler Appliances,NetScaler Total Traffic In,NetScaler Total Traffic Out,NetScaler Appliances with Unsaved Config,NetScaler % of LBs Up,NetScaler % of GWs Up,NetScaler Total HDX Sessions,NetScaler Total LB Users Connections,NetScaler Total SSL Users,NetScaler LB Traffic In / sec,NetScaler LB Traffic Out / sec,NetScaler LB Total Hit Rate,NetScaler Gateway Total Traffic In / sec,NetScaler Gateway Total Traffic Out / sec
"1.00","ControlUp Demo","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","Cloud Servers","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\cloud servers","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","IL Datacenter","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\il datacenter","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","NVIDIA GPU","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\nvidia gpu","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","Physical PCs","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\physical pcs","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","Hypervisors","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\hypervisors","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","EUC Environments","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\euc environments","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","Cloud Connections","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\cloud connections","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","NetScaler Appliances","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\netscaler appliances","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","Linux Data Collectors","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\linux data collectors","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.00","German","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","controlup demo\cloud servers\german","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
